[2024-01-12 14:07:58,214] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:58,347] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:58,441] INFO     | level    | Hit! 1 Note Type: 1
[2024-01-12 14:07:58,674] INFO     | level    | Hit! 0 Note Type: 1
[2024-01-12 14:07:58,790] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:07:59,137] INFO     | level    | Hit! 3 Note Type: 2
[2024-01-12 14:07:59,485] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:07:59,869] INFO     | level    | Hit! 4 Note Type: 2
[2024-01-12 14:08:00,301] INFO     | level    | Hit! 2 Note Type: 1
[2024-01-12 14:08:00,397] INFO     | level    | Hit! 2 Note Type: 6
[2024-01-12 14:08:01,059] INFO     | level    | Hit! 1 Note Type: 2
[2024-01-12 14:08:01,371] INFO     | level    | Hit! 0 Note Type: 2
